id,title,link
21,"어피닛, 글로벌 AI 금융 컨퍼런스 1위…""AI 기술력 증명""",https://n.news.naver.com/mnews/article/092/0002398983?sid=105
22,"숭실대 AI안전성연구센터, 해외 대비 국내 거대언어모델(LLM) 안전성 82% ...",https://n.news.naver.com/mnews/article/030/0003371345?sid=102
23,"[AI픽] 엔비디아 AI 협력 총괄 ""한국, GPU 26만개 보유…AI 중심 국가""",https://n.news.naver.com/mnews/article/001/0015749121?sid=105
24,젠슨 황이 강조한 '피지컬 AI'는? 딥시크 충격 넘어 로봇 시대 연 중국 ...,https://n.news.naver.com/mnews/article/469/0000898320?sid=101
25,"이데일리 AI 코리아 대상, 올해의 주역은 트웰브랩스·라이너·인터엑스",https://n.news.naver.com/mnews/article/018/0006167437?sid=105
26,"[AI×소프트웨이브 2025] 프로텐, ProGenAI Platform으로 AI 업무 혁신 제...",https://n.news.naver.com/mnews/article/030/0003371648?sid=105
27,셋톱박스에 AI 탑재…IPTV '딥테크 동맹' 잇따라,https://n.news.naver.com/mnews/article/011/0004557323?sid=105
28,"[단독] 아시아 최대 부호' 암바니, 이재용과 韓서AI논의한다",https://n.news.naver.com/mnews/article/025/0003483663?sid=101
29,클라우드플레어 장애…챗GPT·X 등 다수 한때 접속 안돼(종합2보),https://n.news.naver.com/mnews/article/001/0015750178?sid=105
30,"구글, ‘제미나이 3’ 공개…오픈AI와AI패권 경쟁 격화 [종목+]",https://n.news.naver.com/mnews/article/015/0005213143?sid=104
31,AI고평가 논란 여파로 4거래일째 약세…엔비디아 2.81%↓[뉴욕증시],https://n.news.naver.com/mnews/article/024/0000101414?sid=101
32,"""30조원 효과""…삼성·LG·SK, UAEAI시장 총출동",https://n.news.naver.com/mnews/article/003/0013608920?sid=101
33,"EU 이번엔 아마존·MS클라우드정조준…""DMA 적용 여부 결정""(종합)",https://n.news.naver.com/mnews/article/001/0015750179?sid=104
34,"빅테크, '빚내야AI빛난다'…아마존도 채권 발행 대열에",https://n.news.naver.com/mnews/article/001/0015747726?sid=104
35,클라우드플레어 장애…X·챗GPT·LOL 등 서비스 다수 중단(상보),https://n.news.naver.com/mnews/article/421/0008612206?sid=104
36,"코스콤, 금융클라우드기반AI서비스 소개",https://n.news.naver.com/mnews/article/008/0005279531?sid=101
37,"""테슬라 비켜""…GM,자율주행탑재車 국내 첫 출시",https://n.news.naver.com/mnews/article/018/0006167565?sid=103
38,광주 미래차소부장단지 '자율주행실증 구축·연구·인력양성' 성과,https://n.news.naver.com/mnews/article/003/0013606205?sid=102
39,[K-VIBE] 정광복의 K-자율주행도전기…딥러닝과 파운데이션 모델의 진화,https://n.news.naver.com/mnews/article/001/0015750521?sid=101
40,"네이버,자율주행로봇 '루키2'로 사우디·일본 공략 나선다",https://n.news.naver.com/mnews/article/030/0003371464?sid=101
41,"자율주행순찰로봇이 스마트시티 지킨다…뉴빌리티, 부산서 실증",https://n.news.naver.com/mnews/article/008/0005280092?sid=101
42,"AI 기반자율주행로봇 솔루션 클로봇, 3분기 누적 연결 매출 39%↑",https://n.news.naver.com/mnews/article/138/0002209892?sid=105
43,"GM·테슬라,자율주행韓 상륙…현대차·기아 대응책은?",https://n.news.naver.com/mnews/article/003/0013606974?sid=101
44,"웨이모, 2026년 텍사스·플로리다로 로보택시 서비스 대폭 확대 [종목+]",https://n.news.naver.com/mnews/article/015/0005213160?sid=104
